Date,MktRF,SMB,HML,RF
1/1/1990,-7.85,-1.24,0.85,0.57
2/1/1990,1.11,0.99,0.64,0.57
3/1/1990,1.83,1.5,-2.92,0.64
4/1/1990,-3.36,-0.46,-2.59,0.69
5/1/1990,8.42,-2.53,-3.83,0.68
6/1/1990,-1.09,1.4,-1.93,0.63
7/1/1990,-1.9,-3.12,-0.03,0.68
8/1/1990,-10.15,-3.57,1.64,0.66
9/1/1990,-6.12,-3.65,0.64,0.6
10/1/1990,-1.92,-5.57,0.1,0.68
11/1/1990,6.35,0.43,-3.1,0.57
12/1/1990,2.46,0.81,-1.7,0.6
1/1/1991,4.69,3.81,-1.6,0.52
2/1/1991,7.19,3.95,-0.58,0.48
3/1/1991,2.65,3.93,-1.39,0.44
4/1/1991,-0.28,0.48,1.5,0.53
5/1/1991,3.65,-0.4,-0.52,0.47
6/1/1991,-4.94,0.13,1.15,0.42
7/1/1991,4.24,-0.92,-1.32,0.49
8/1/1991,2.32,1.58,-0.78,0.46
9/1/1991,-1.59,1.64,-1.08,0.46
10/1/1991,1.29,0.81,-0.47,0.42
11/1/1991,-4.19,-0.5,-1.89,0.39
12/1/1991,10.84,-2.24,-4.17,0.38
1/1/1992,-0.59,8.46,4.71,0.34
2/1/1992,1.09,0.87,6.47,0.28
3/1/1992,-2.66,-1.04,3.56,0.34
4/1/1992,1.07,-6.06,4.34,0.32
5/1/1992,0.3,0.41,1.19,0.28
6/1/1992,-2.34,-3.07,3.24,0.32
7/1/1992,3.77,-0.47,-0.56,0.31
8/1/1992,-2.38,-0.13,-1.1,0.26
9/1/1992,1.19,0.54,-0.26,0.26
10/1/1992,1.02,2.09,-1.98,0.23
11/1/1992,4.13,3.76,-1.35,0.23
12/1/1992,1.53,1.69,2.62,0.28
1/1/1993,0.93,1.89,5.94,0.23
2/1/1993,0.12,-3.48,6.42,0.22
3/1/1993,2.3,0.24,1.18,0.25
4/1/1993,-3.05,-0.67,2.49,0.24
5/1/1993,2.89,2.04,-3.42,0.22
6/1/1993,0.31,-0.29,2.75,0.25
7/1/1993,-0.34,0.96,2.85,0.24
8/1/1993,3.71,0.13,0.13,0.25
